Date,Close,Volume,Open,High,Low
1/3/2011,27.98 ,53443800.00 ,28.05 ,28.18 ,27.92 
1/4/2011,28.09 ,54405600.00 ,27.94 ,28.17 ,27.85 
1/5/2011,28.00 ,58998700.00 ,27.90 ,28.01 ,27.77 
1/6/2011,28.82 ,88026300.00 ,28.04 ,28.85 ,27.86 
1/7/2011,28.60 ,73762000.00 ,28.64 ,28.74 ,28.25 
1/10/2011,28.22 ,57573600.00 ,28.26 ,28.40 ,28.04 
1/11/2011,28.11 ,50298900.00 ,28.20 ,28.25 ,28.05 
1/12/2011,28.55 ,52631100.00 ,28.12 ,28.59 ,28.07 
1/13/2011,28.19 ,67077600.00 ,28.33 ,28.39 ,28.01 
1/14/2011,28.30 ,62688400.00 ,28.08 ,28.38 ,27.91 
1/18/2011,28.66 ,53322700.00 ,28.16 ,28.74 ,28.14 
1/19/2011,28.47 ,50005900.00 ,28.46 ,28.68 ,28.27 
1/20/2011,28.35 ,58613600.00 ,28.50 ,28.55 ,28.13 
1/21/2011,28.02 ,58080300.00 ,28.40 ,28.43 ,28.02 
1/24/2011,28.38 ,52047800.00 ,28.02 ,28.56 ,27.99 
1/25/2011,28.45 ,42436600.00 ,28.14 ,28.45 ,28.12 
1/26/2011,28.78 ,74628800.00 ,28.51 ,28.99 ,28.50 
1/27/2011,28.87 ,146938600.00 ,28.75 ,29.46 ,28.49 
1/28/2011,27.75 ,141249400.00 ,28.90 ,28.93 ,27.45 
1/31/2011,27.73 ,65029000.00 ,27.77 ,27.90 ,27.42 
2/1/2011,27.99 ,62810700.00 ,27.80 ,28.06 ,27.61 
2/2/2011,27.94 ,45824000.00 ,27.93 ,28.11 ,27.88 
2/3/2011,27.65 ,60340100.00 ,27.97 ,27.97 ,27.54 
2/4/2011,27.77 ,40412200.00 ,27.70 ,27.84 ,27.51 
2/7/2011,28.20 ,68980900.00 ,27.80 ,28.34 ,27.79 
2/8/2011,28.28 ,34904200.00 ,28.10 ,28.34 ,28.05 
2/9/2011,27.97 ,52905100.00 ,28.19 ,28.26 ,27.91 
2/10/2011,27.50 ,76672400.00 ,27.93 ,27.94 ,27.29 
2/11/2011,27.25 ,83939700.00 ,27.76 ,27.81 ,27.07 
2/14/2011,27.23 ,56766200.00 ,27.21 ,27.27 ,26.95 
2/15/2011,26.96 ,44116500.00 ,27.04 ,27.33 ,26.95 
2/16/2011,27.02 ,70817900.00 ,27.05 ,27.07 ,26.60 
2/17/2011,27.21 ,57207300.00 ,26.97 ,27.37 ,26.91 
2/18/2011,27.06 ,68667800.00 ,27.13 ,27.21 ,26.99 
2/22/2011,26.59 ,60889000.00 ,26.78 ,27.10 ,26.52 
2/23/2011,26.59 ,60234100.00 ,26.53 ,26.86 ,26.43 
2/24/2011,26.77 ,64494200.00 ,26.64 ,27.06 ,26.50 
2/25/2011,26.55 ,53006300.00 ,26.91 ,26.95 ,26.50 
2/28/2011,26.58 ,51379900.00 ,26.69 ,26.86 ,26.51 
3/1/2011,26.16 ,60055000.00 ,26.60 ,26.78 ,26.15 
3/2/2011,26.08 ,48658200.00 ,26.11 ,26.37 ,26.04 
3/3/2011,26.20 ,68271500.00 ,26.26 ,26.40 ,26.18 
3/4/2011,25.95 ,70437200.00 ,26.22 ,26.24 ,25.80 
3/7/2011,25.72 ,64980400.00 ,26.13 ,26.27 ,25.55 
3/8/2011,25.91 ,50549800.00 ,25.77 ,26.02 ,25.65 
3/9/2011,25.89 ,39789100.00 ,25.81 ,25.98 ,25.66 
3/10/2011,25.41 ,66549500.00 ,25.62 ,25.71 ,25.35 
3/11/2011,25.68 ,49905800.00 ,25.41 ,25.85 ,25.36 
3/14/2011,25.69 ,54473400.00 ,25.49 ,25.76 ,25.35 
3/15/2011,25.39 ,76067300.00 ,25.08 ,25.47 ,25.00 
3/16/2011,24.79 ,100725400.00 ,25.22 ,25.28 ,24.68 
3/17/2011,24.78 ,62497000.00 ,25.06 ,25.22 ,24.75 
3/18/2011,24.80 ,85486700.00 ,25.06 ,25.18 ,24.80 
3/21/2011,25.33 ,46878100.00 ,25.18 ,25.58 ,25.15 
3/22/2011,25.30 ,30895600.00 ,25.30 ,25.46 ,25.23 
3/23/2011,25.54 ,43969000.00 ,25.23 ,25.61 ,25.18 
3/24/2011,25.81 ,38696700.00 ,25.60 ,25.87 ,25.50 
3/25/2011,25.62 ,57029800.00 ,25.93 ,25.95 ,25.59 
3/28/2011,25.41 ,48973200.00 ,25.66 ,25.72 ,25.38 
3/29/2011,25.49 ,40763500.00 ,25.34 ,25.52 ,25.30 
3/30/2011,25.61 ,41999300.00 ,25.60 ,25.72 ,25.50 
3/31/2011,25.39 ,63233700.00 ,25.60 ,25.68 ,25.34 
4/1/2011,25.48 ,63114200.00 ,25.53 ,25.53 ,25.31 
4/4/2011,25.55 ,35433700.00 ,25.45 ,25.66 ,25.41 
4/5/2011,25.78 ,73651100.00 ,25.82 ,26.18 ,25.74 
4/6/2011,26.15 ,65581400.00 ,25.98 ,26.31 ,25.86 
4/7/2011,26.20 ,46134700.00 ,26.19 ,26.26 ,25.97 
4/8/2011,26.07 ,39887600.00 ,26.17 ,26.28 ,25.96 
4/11/2011,25.98 ,34286300.00 ,26.19 ,26.25 ,25.80 
4/12/2011,25.64 ,36920400.00 ,25.83 ,25.85 ,25.55 
4/13/2011,25.63 ,38144700.00 ,25.65 ,25.87 ,25.56 
4/14/2011,25.42 ,55239900.00 ,25.42 ,25.44 ,25.09 
4/15/2011,25.37 ,65080400.00 ,25.46 ,25.56 ,25.18 
4/18/2011,25.08 ,58045100.00 ,25.10 ,25.28 ,24.72 
4/19/2011,25.15 ,38892400.00 ,25.00 ,25.17 ,24.87 
4/20/2011,25.76 ,61608600.00 ,25.54 ,26.00 ,25.51 
4/21/2011,25.52 ,46892300.00 ,25.79 ,25.89 ,25.36 
4/25/2011,25.61 ,33525100.00 ,25.56 ,25.62 ,25.34 
4/26/2011,26.19 ,69200000.00 ,25.74 ,26.44 ,25.67 
4/27/2011,26.38 ,52689000.00 ,26.30 ,26.39 ,26.13 
4/28/2011,26.71 ,80200000.00 ,26.46 ,26.87 ,26.40 
4/29/2011,25.92 ,319317900.00 ,26.55 ,26.64 ,25.36 
5/2/2011,25.66 ,89825600.00 ,25.94 ,26.00 ,25.48 
5/3/2011,25.81 ,71892900.00 ,25.60 ,25.85 ,25.49 
5/4/2011,26.06 ,73292300.00 ,25.85 ,26.25 ,25.79 
5/5/2011,25.79 ,55600000.00 ,26.05 ,26.08 ,25.68 
5/6/2011,25.87 ,55993000.00 ,26.07 ,26.22 ,25.75 
5/9/2011,25.83 ,38696400.00 ,25.80 ,25.96 ,25.67 
