Date,Close,Volume,Open,High,Low,week,ln(S_i/s_i-1),sigma,
1/5/2011,28.00 ,58998700.00 ,27.90 ,28.01 ,27.77 ,3.00 ,,0.22 ,0.22 
1/12/2011,28.55 ,52631100.00 ,28.12 ,28.59 ,28.07 ,3.00 ,0.0195 ,,0.21 
1/19/2011,28.47 ,50005900.00 ,28.46 ,28.68 ,28.27 ,3.00 ,-0.0028 ,,
1/26/2011,28.78 ,74628800.00 ,28.51 ,28.99 ,28.50 ,3.00 ,0.0108 ,,
2/2/2011,27.94 ,45824000.00 ,27.93 ,28.11 ,27.88 ,3.00 ,-0.0296 ,,
2/9/2011,27.97 ,52905100.00 ,28.19 ,28.26 ,27.91 ,3.00 ,0.0011 ,,
2/16/2011,27.02 ,70817900.00 ,27.05 ,27.07 ,26.60 ,3.00 ,-0.0346 ,,
2/23/2011,26.59 ,60234100.00 ,26.53 ,26.86 ,26.43 ,3.00 ,-0.0160 ,,
3/2/2011,26.08 ,48658200.00 ,26.11 ,26.37 ,26.04 ,3.00 ,-0.0194 ,,
3/9/2011,25.89 ,39789100.00 ,25.81 ,25.98 ,25.66 ,3.00 ,-0.0073 ,,
3/16/2011,24.79 ,100725400.00 ,25.22 ,25.28 ,24.68 ,3.00 ,-0.0434 ,,
3/23/2011,25.54 ,43969000.00 ,25.23 ,25.61 ,25.18 ,3.00 ,0.0298 ,,
3/30/2011,25.61 ,41999300.00 ,25.60 ,25.72 ,25.50 ,3.00 ,0.0027 ,,
4/6/2011,26.15 ,65581400.00 ,25.98 ,26.31 ,25.86 ,3.00 ,0.0209 ,,
4/13/2011,25.63 ,38144700.00 ,25.65 ,25.87 ,25.56 ,3.00 ,-0.0201 ,,
4/20/2011,25.76 ,61608600.00 ,25.54 ,26.00 ,25.51 ,3.00 ,0.0051 ,,
4/27/2011,26.38 ,52689000.00 ,26.30 ,26.39 ,26.13 ,3.00 ,0.0238 ,,
5/4/2011,26.06 ,73292300.00 ,25.85 ,26.25 ,25.79 ,3.00 ,-0.0122 ,,
5/11/2011,25.36 ,78600000.00 ,25.65 ,25.66 ,25.21 ,3.00 ,-0.0272 ,,
5/18/2011,24.69 ,53931100.00 ,24.53 ,24.74 ,24.25 ,3.00 ,-0.0268 ,,
5/25/2011,24.19 ,34904200.00 ,24.17 ,24.31 ,24.16 ,3.00 ,-0.0205 ,,
6/1/2011,24.43 ,74033500.00 ,24.99 ,25.10 ,24.37 ,3.00 ,0.0099 ,,
6/8/2011,23.94 ,42205000.00 ,23.90 ,24.02 ,23.86 ,3.00 ,-0.0203 ,,
6/15/2011,23.74 ,49410200.00 ,24.00 ,24.01 ,23.67 ,3.00 ,-0.0084 ,,
6/22/2011,24.65 ,44287300.00 ,24.60 ,24.81 ,24.59 ,3.00 ,0.0376 ,,
6/29/2011,25.62 ,66051000.00 ,25.71 ,25.71 ,25.36 ,3.00 ,0.0386 ,,
7/6/2011,26.33 ,48744200.00 ,25.97 ,26.37 ,25.96 ,3.00 ,0.0273 ,,
7/13/2011,26.63 ,40861800.00 ,26.60 ,26.96 ,26.51 ,3.00 ,0.0113 ,,
7/20/2011,27.06 ,49795400.00 ,27.28 ,27.35 ,26.98 ,3.00 ,0.0160 ,,
7/27/2011,27.33 ,71488700.00 ,27.88 ,27.99 ,27.20 ,3.00 ,0.0099 ,,
